"Parasite.species","host_record_lcdb_nhm","host_sp_no_subsp","host_genus_lcdb_nhm","best_host_name"
"Amidostomum acutum","Anas querquedula","Anas querquedula","Anas","Anas querquedula"
"Amidostomum acutum","Gallus gallus","Gallus gallus","Gallus","Gallus gallus"
"Amidostomum anseris","Anas platyrhynchos","Anas platyrhynchos","Anas","Anas platyrhynchos"
"Amidostomum anseris","Anser anser","Anser anser","Anser","Anser anser"
"Amidostomum anseris","Branta canadensis","Branta canadensis","Branta","Branta canadensis"
"Amidostomum fulicae","Fulica americana","Fulica americana","Fulica","Fulica americana"
"Amidostomum fulicae","Fulica atra","Fulica atra","Fulica","Fulica atra"
"Amidostomum fulicae","Gallus gallus","Gallus gallus","Gallus","Gallus gallus"
"Amirthalingamia macracantha","Oreochromis niloticus","Oreochromis niloticus","Oreochromis","Oreochromis niloticus"
"Amirthalingamia macracantha","Tilapia zillii","Tilapia zillii","Tilapia","Tilapia zillii"
"Amirthalingamia macracantha","Microcarbo africanus","Microcarbo africanus","Microcarbo","Microcarbo africanus"
"Amirthalingamia macracantha","Phalacrocorax carbo","Phalacrocorax carbo","Phalacrocorax","Phalacrocorax carbo"
"Amoebotaenia cuneata","Allolobophora chlorotica","Allolobophora chlorotica","Allolobophora","Allolobophora chlorotica"
"Amoebotaenia cuneata","Allolobophora foetida","Allolobophora foetida","Allolobophora","Allolobophora foetida"
"Amoebotaenia cuneata","Ilyogenia africana","Ilyogenia africana","Ilyogenia","Ilyogenia africana"
"Amoebotaenia cuneata","Columba livia","Columba livia","Columba","Columba livia"
"Amoebotaenia cuneata","Gallus gallus","Gallus gallus","Gallus","Gallus gallus"
"Amphilina foliacea","Corophium curvispinum","Corophium curvispinum","Corophium","Chelicorophium curvispinum"
"Amphilina foliacea","Dikerogammarus caspius","Dikerogammarus caspius","Dikerogammarus","Dikerogammarus caspius"
"Amphilina foliacea","Dikerogammarus haemobaphes","Dikerogammarus haemobaphes","Dikerogammarus","Dikerogammarus haemobaphes"
"Amphilina foliacea","Gammarus platycheir","Gammarus platycheir","Gammarus","Gammarus platycheir"
"Amphilina foliacea","Gmelina costata","Gmelina costata","Gmelina","Gmelina costata"
"Amphilina foliacea","Metamysis strauchi","Metamysis strauchi","Metamysis","Metamysis strauchi"
"Amphilina foliacea","Pontogammarus crassus","Pontogammarus crassus","Pontogammarus","Pontogammarus crassus"
"Amphilina foliacea","Pontogammarus obesus","Pontogammarus obesus","Pontogammarus","Pontogammarus obesus"
"Amphilina foliacea","Pontogammarus robustoides","Pontogammarus robustoides","Pontogammarus","Pontogammarus robustoides"
"Amphilina foliacea","Acipenser gueldenstaedtii","Acipenser gueldenstaedtii","Acipenser","Acipenser gueldenstaedtii"
"Amphilina foliacea","Acipenser ruthenus","Acipenser ruthenus","Acipenser","Acipenser ruthenus"
"Amphilina foliacea","Acipenser stellatus","Acipenser stellatus","Acipenser","Acipenser stellatus"
"Amphilina foliacea","Huso huso","Huso huso","Huso","Huso huso"
"Amplicaecum robertsi","Aspidomorphus sp.","Aspidomorphus sp.","Aspidomorphus","Aspidomorphus sp."
"Amplicaecum robertsi","Bellatorias major","Bellatorias major","Bellatorias","Bellatorias major"
"Amplicaecum robertsi","Demansia psammophis","Demansia psammophis","Demansia","Demansia psammophis"
"Amplicaecum robertsi","Lialis burtonis","Lialis burtonis","Lialis","Lialis burtonis"
"Amplicaecum robertsi","Litoria caerulea","Litoria caerulea","Litoria","Litoria caerulea"
"Amplicaecum robertsi","Lumbricina sp.","Lumbricina sp.","Lumbricina","Lumbricina sp."
"Amplicaecum robertsi","Morelia spilota","Morelia spilota","Morelia","Morelia spilota"
"Amplicaecum robertsi","Phyllomedusa bicolor","Phyllomedusa bicolor","Phyllomedusa","Phyllomedusa bicolor"
"Amplicaecum robertsi","Physastra sp.","Physastra sp.","Physastra","Physastra sp."
"Amplicaecum robertsi","Poecilia reticulata","Poecilia reticulata","Poecilia","Poecilia reticulata"
"Amplicaecum robertsi","Pogona barbata","Pogona barbata","Pogona","Pogona barbata"
"Amplicaecum robertsi","Sphenomorphus lesueurii","Sphenomorphus lesueurii","Sphenomorphus","Ctenotus australis"
"Amplicaecum robertsi","Tiliqua scincoides","Tiliqua scincoides","Tiliqua","Tiliqua scincoides"
"Amplicaecum robertsi","Anas platyrhynchos","Anas platyrhynchos","Anas","Anas platyrhynchos"
"Amplicaecum robertsi","Cavia porcellus","Cavia porcellus","Cavia","Cavia porcellus"
"Amplicaecum robertsi","Columba livia","Columba livia","Columba","Columba livia"
"Amplicaecum robertsi","Dendrolagus lumholtzi","Dendrolagus lumholtzi","Dendrolagus","Dendrolagus lumholtzi"
"Amplicaecum robertsi","Gallus gallus","Gallus gallus","Gallus","Gallus gallus"
"Amplicaecum robertsi","Isoodon macrourus","Isoodon macrourus","Isoodon","Isoodon macrourus"
"Amplicaecum robertsi","Lonchura punctulata","Lonchura punctulata","Lonchura","Lonchura punctulata"
"Amplicaecum robertsi","Melomys cervinipes","Melomys cervinipes","Melomys","Melomys cervinipes"
"Amplicaecum robertsi","Melomys lutillus","Melomys lutillus","Melomys","Melomys lutillus"
"Amplicaecum robertsi","Melopsittacus undulatus","Melopsittacus undulatus","Melopsittacus","Melopsittacus undulatus"
"Amplicaecum robertsi","Mus musculus","Mus musculus","Mus","Mus musculus"
"Amplicaecum robertsi","Oryctolagus cuniculus","Oryctolagus cuniculus","Oryctolagus","Oryctolagus cuniculus"
"Amplicaecum robertsi","Perameles nasuta","Perameles nasuta","Perameles","Perameles nasuta"
"Amplicaecum robertsi","Phascogale tapoatafa","Phascogale tapoatafa","Phascogale","Phascogale tapoatafa"
"Amplicaecum robertsi","Poephila cincta","Poephila cincta","Poephila","Poephila cincta"
"Amplicaecum robertsi","Rattus fuscipes","Rattus fuscipes","Rattus","Rattus fuscipes"
"Amplicaecum robertsi","Rattus norvegicus","Rattus norvegicus","Rattus","Rattus norvegicus"
"Amplicaecum robertsi","Rattus rattus","Rattus rattus","Rattus","Rattus rattus"
"Amplicaecum robertsi","Rhinolophus sp.","Rhinolophus sp.","Rhinolophus","Rhinolophus sp."
"Amplicaecum robertsi","Serinus canaria","Serinus canaria","Serinus","Serinus canaria"
"Amplicaecum robertsi","Taeniopygia guttata","Taeniopygia guttata","Taeniopygia","Taeniopygia guttata"
"Amplicaecum robertsi","Trichosurus caninus","Trichosurus caninus","Trichosurus","Trichosurus caninus"
"Amplicaecum robertsi","Uromys caudimaculatus","Uromys caudimaculatus","Uromys","Uromys caudimaculatus"
"Amplicaecum robertsi","Morelia amethistina","Morelia amethistina","Morelia","Simalia amethistina"
"Amplicaecum robertsi","Varanus gouldii","Varanus gouldii","Varanus","Varanus gouldii"
"Ancyracanthopsis winegardi","Uca sp.","Uca sp.","Uca","Uca sp."
"Ancyracanthopsis winegardi","Actitis macularius","Actitis macularius","Actitis","Actitis macularius"
"Ancyracanthopsis winegardi","Catoptrophorus semipalmatus","Catoptrophorus semipalmatus","Catoptrophorus","Catoptrophorus semipalmatus"
"Ancyracanthopsis winegardi","Charadrius wilsonia","Charadrius wilsonia","Charadrius","Charadrius wilsonia"
"Ancyracanthopsis winegardi","Limosa fedoa","Limosa fedoa","Limosa","Limosa fedoa"
"Ancyracanthopsis winegardi","Numenius americanus","Numenius americanus","Numenius","Numenius americanus"
"Ancyracanthopsis winegardi","Numenius phaeopus","Numenius phaeopus","Numenius","Numenius phaeopus"
"Ancyracanthopsis winegardi","Pluvialis squatarola","Pluvialis squatarola","Pluvialis","Pluvialis squatarola"
"Andersonstrongylus captivensis","Mephitis mephitis","Mephitis mephitis","Mephitis","Mephitis mephitis"
"Angiostrongylus andersoni","Arion hortensis","Arion hortensis","Arion","Arion hortensis"
"Angiostrongylus andersoni","Deroceras reticulatum","Deroceras reticulatum","Deroceras","Deroceras reticulatum"
"Angiostrongylus andersoni","Helix aspersa","Helix aspersa","Helix","Helix aspersa"
"Angiostrongylus andersoni","Lymnaea stagnalis","Lymnaea stagnalis","Lymnaea","Lymnaea stagnalis"
"Angiostrongylus andersoni","Planorbarius corneus","Planorbarius corneus","Planorbarius","Planorbarius corneus"
"Angiostrongylus andersoni","Taterillus gracilis","Taterillus gracilis","Taterillus","Taterillus gracilis"
"Angiostrongylus cantonensis","Achatina fulica","Achatina fulica","Achatina","Achatina fulica"
"Angiostrongylus cantonensis","Biomphalaria alexandrina","Biomphalaria alexandrina","Biomphalaria","Biomphalaria alexandrina"
"Angiostrongylus cantonensis","Biomphalaria glabrata","Biomphalaria glabrata","Biomphalaria","Biomphalaria glabrata"
"Angiostrongylus cantonensis","Bulinus africanus","Bulinus africanus","Bulinus","Bulinus africanus"
"Angiostrongylus cantonensis","Bulinus contortus","Bulinus contortus","Bulinus","Bulinus truncatus"
"Angiostrongylus cantonensis","Bulinus tropicus","Bulinus tropicus","Bulinus","Bulinus tropicus"
"Angiostrongylus cantonensis","Bulinus truncatus","Bulinus truncatus","Bulinus","Bulinus truncatus"
"Angiostrongylus cantonensis","Deroceras laeve","Deroceras laeve","Deroceras","Deroceras laeve"
"Angiostrongylus cantonensis","Helicarion sp.","Helicarion sp.","Helicarion","Helicarion sp."
"Angiostrongylus cantonensis","Helisoma sp.","Helisoma sp.","Helisoma","Helisoma sp."
"Angiostrongylus cantonensis","Laevicaulis alte","Laevicaulis alte","Laevicaulis","Laevicaulis alte"
"Angiostrongylus cantonensis","Lanistes carinatus","Lanistes carinatus","Lanistes","Lanistes boltenianus"
"Angiostrongylus cantonensis","Lymnaea natalensis","Lymnaea natalensis","Lymnaea","Lymnaea natalensis"
"Angiostrongylus cantonensis","Lymnaea palustris","Lymnaea palustris","Lymnaea","Lymnaea palustris"
"Angiostrongylus cantonensis","Lymnaea stagnalis","Lymnaea stagnalis","Lymnaea","Lymnaea stagnalis"
"Angiostrongylus cantonensis","Lymnaea tomentosa","Lymnaea tomentosa","Lymnaea","Lymnaea tomentosa"
"Angiostrongylus cantonensis","Marisa cornuarietis","Marisa cornuarietis","Marisa","Marisa cornuarietis"
"Angiostrongylus cantonensis","Physa acuta","Physa acuta","Physa","Physella acuta"
"Angiostrongylus cantonensis","Planorbis intermixtus","Planorbis intermixtus","Planorbis","Planorbis intermixtus"
"Angiostrongylus cantonensis","Planorbis planorbis","Planorbis planorbis","Planorbis","Planorbis planorbis"
"Angiostrongylus cantonensis","Pomacea canaliculata","Pomacea canaliculata","Pomacea","Pomacea canaliculata"
"Angiostrongylus cantonensis","Stagnicola elodes","Stagnicola elodes","Stagnicola","Ladislavella elodes"
"Angiostrongylus cantonensis","Vaginulus plebius","Vaginulus plebius","Vaginulus","Vaginulus plebeius"
"Angiostrongylus cantonensis","Geoplana forsterorum","Geoplana forsterorum","Geoplana","Kontikia forsterorum"
"Angiostrongylus cantonensis","Litoria aurea","Litoria aurea","Litoria","Litoria aurea"
"Angiostrongylus cantonensis","Macrobrachium lar","Macrobrachium lar","Macrobrachium","Macrobrachium lar"
"Angiostrongylus cantonensis","Oreochromis mossambicus","Oreochromis mossambicus","Oreochromis","Oreochromis mossambicus"
"Angiostrongylus cantonensis","Selar crumenophthalmus","Selar crumenophthalmus","Selar","Selar crumenophthalmus"
"Angiostrongylus cantonensis","Bandicota indica","Bandicota indica","Bandicota","Bandicota indica"
"Angiostrongylus cantonensis","Cavia porcellus","Cavia porcellus","Cavia","Cavia porcellus"
"Angiostrongylus cantonensis","Homo sapiens","Homo sapiens","Homo","Homo sapiens"
"Angiostrongylus cantonensis","Melomys littoralis","Melomys littoralis","Melomys","Melomys burtoni"
"Angiostrongylus cantonensis","Mus musculus","Mus musculus","Mus","Mus musculus"
"Angiostrongylus cantonensis","Nycticebus coucang","Nycticebus coucang","Nycticebus","Nycticebus coucang"
"Angiostrongylus cantonensis","Oryctolagus cuniculus","Oryctolagus cuniculus","Oryctolagus","Oryctolagus cuniculus"
"Angiostrongylus cantonensis","Rattus annandalei","Rattus annandalei","Rattus","Rattus annandalei"
"Angiostrongylus cantonensis","Rattus argentiventer","Rattus argentiventer","Rattus","Rattus argentiventer"
"Angiostrongylus cantonensis","Rattus assimilis","Rattus assimilis","Rattus","Rattus fuscipes"
"Angiostrongylus cantonensis","Rattus bowersi","Rattus bowersi","Rattus","Berylmys bowersi"
"Angiostrongylus cantonensis","Rattus conatus","Rattus conatus","Rattus","Rattus sordidus"
"Angiostrongylus cantonensis","Rattus coxinga","Rattus coxinga","Rattus","Rattus coxinga"
"Angiostrongylus cantonensis","Rattus diardi","Rattus diardi","Rattus","Rattus diardi"
"Angiostrongylus cantonensis","Rattus exulans","Rattus exulans","Rattus","Rattus exulans"
"Angiostrongylus cantonensis","Rattus jalorensis","Rattus jalorensis","Rattus","Rattus jalorensis"
"Angiostrongylus cantonensis","Rattus losea","Rattus losea","Rattus","Rattus losea"
"Angiostrongylus cantonensis","Rattus muelleri","Rattus muelleri","Rattus","Rattus muelleri"
"Angiostrongylus cantonensis","Rattus norvegicus","Rattus norvegicus","Rattus","Rattus norvegicus"
"Angiostrongylus cantonensis","Rattus rattus","Rattus rattus","Rattus","Rattus rattus"
"Angiostrongylus costaricensis","Achatina fulica","Achatina fulica","Achatina","Achatina fulica"
"Angiostrongylus costaricensis","Bradybaena similaris","Bradybaena similaris","Bradybaena","Bradybaena similaris"
"Angiostrongylus costaricensis","Limax flavus","Limax flavus","Limax","Limax flavus"
"Angiostrongylus costaricensis","Limax maximus","Limax maximus","Limax","Limax maximus"
"Angiostrongylus costaricensis","Phyllocaulis variegatus","Phyllocaulis variegatus","Phyllocaulis","Phyllocaulis variegatus"
"Angiostrongylus costaricensis","Vaginulus plebeius","Vaginulus plebeius","Vaginulus","Vaginulus plebeius"
"Angiostrongylus costaricensis","Homo sapiens","Homo sapiens","Homo","Homo sapiens"
"Angiostrongylus costaricensis","Liomys adspersus","Liomys adspersus","Liomys","Liomys adspersus"
"Angiostrongylus costaricensis","Oligoryzomys fulvescens","Oligoryzomys fulvescens","Oligoryzomys","Oligoryzomys fulvescens"
"Angiostrongylus costaricensis","Rattus rattus","Rattus rattus","Rattus","Rattus rattus"
"Angiostrongylus costaricensis","Sigmodon hispidus","Sigmodon hispidus","Sigmodon","Sigmodon hispidus"
"Angiostrongylus costaricensis","Zygodontomys brevicauda","Zygodontomys brevicauda","Zygodontomys","Zygodontomys brevicauda"
"Angiostrongylus dujardini","Biomphalaria glabrata","Biomphalaria glabrata","Biomphalaria","Biomphalaria glabrata"
"Angiostrongylus dujardini","Hygromia limbata","Hygromia limbata","Hygromia","Hygromia limbata"
"Angiostrongylus dujardini","Lymnaea corvus","Lymnaea corvus","Lymnaea","Stagnicola corvus"
"Angiostrongylus dujardini","Lymnaea peregra","Lymnaea peregra","Lymnaea","Lymnaea peregra"
"Angiostrongylus dujardini","Lymnaea stagnalis","Lymnaea stagnalis","Lymnaea","Lymnaea stagnalis"
"Angiostrongylus dujardini","Planorbarius corneus","Planorbarius corneus","Planorbarius","Planorbarius corneus"
"Angiostrongylus dujardini","Planorbis planorbis","Planorbis planorbis","Planorbis","Planorbis planorbis"
"Angiostrongylus dujardini","Retinella incerta","Retinella incerta","Retinella","Retinella incerta"
"Angiostrongylus dujardini","Apodemus sylvaticus","Apodemus sylvaticus","Apodemus","Apodemus sylvaticus"
"Angiostrongylus dujardini","Myodes glareolus","Myodes glareolus","Myodes","Myodes glareolus"
"Angiostrongylus mackerrasae","Agriolimax laevis","Agriolimax laevis","Agriolimax","Agriolimax laevis"
"Angiostrongylus mackerrasae","Helicarion sp.","Helicarion sp.","Helicarion","Helicarion sp."
"Angiostrongylus mackerrasae","Limax arboreum","Limax arboreum","Limax","Limax arboreum"
"Angiostrongylus mackerrasae","Onchidium sp","Onchidium sp","Onchidium","Onchidium sp"
"Angiostrongylus mackerrasae","Rattus fuscipes","Rattus fuscipes","Rattus","Rattus fuscipes"
"Angiostrongylus mackerrasae","Rattus norvegicus","Rattus norvegicus","Rattus","Rattus norvegicus"
"Angiostrongylus mackerrasae","Rattus rattus","Rattus rattus","Rattus","Rattus rattus"
"Angiostrongylus malaysiensis","Bellamyia ingallsiana","Bellamyia ingallsiana","Bellamyia","Bellamyia ingallsiana"
"Angiostrongylus malaysiensis","Bradybaena similaris","Bradybaena similaris","Bradybaena","Bradybaena similaris"
"Angiostrongylus malaysiensis","Laevicaulis alte","Laevicaulis alte","Laevicaulis","Laevicaulis alte"
"Angiostrongylus malaysiensis","Microparmarion malayanus","Microparmarion malayanus","Microparmarion","Microparmarion malayanus"
"Angiostrongylus malaysiensis","Pila scutata","Pila scutata","Pila","Pila scutata"
"Angiostrongylus malaysiensis","Rattus argentiventer","Rattus argentiventer","Rattus","Rattus argentiventer"
"Angiostrongylus malaysiensis","Rattus exulans","Rattus exulans","Rattus","Rattus exulans"
"Angiostrongylus malaysiensis","Rattus norvegicus","Rattus norvegicus","Rattus","Rattus norvegicus"
"Angiostrongylus malaysiensis","Rattus rattus","Rattus rattus","Rattus","Rattus rattus"
"Angiostrongylus malaysiensis","Rattus tiomanicus","Rattus tiomanicus","Rattus","Rattus tiomanicus"
"Angiostrongylus schmidti","Biomphalaria glabrata","Biomphalaria glabrata","Biomphalaria","Biomphalaria glabrata"
"Angiostrongylus schmidti","Polygyra septemvolva","Polygyra septemvolva","Polygyra","Polygyra septemvolva"
"Angiostrongylus schmidti","Meriones unguiculatus","Meriones unguiculatus","Meriones","Meriones unguiculatus"
"Angiostrongylus schmidti","Mesocricetus auratus","Mesocricetus auratus","Mesocricetus","Mesocricetus auratus"
"Angiostrongylus schmidti","Mus musculus","Mus musculus","Mus","Mus musculus"
"Angiostrongylus schmidti","Oryzomys palustris","Oryzomys palustris","Oryzomys","Oryzomys palustris"
"Angiostrongylus schmidti","Peromyscus maniculatus","Peromyscus maniculatus","Peromyscus","Peromyscus maniculatus"
"Angiostrongylus schmidti","Rattus norvegicus","Rattus norvegicus","Rattus","Rattus norvegicus"
"Angiostrongylus schmidti","Sigmodon hispidus","Sigmodon hispidus","Sigmodon","Sigmodon hispidus"
"Angiostrongylus siamensis","Biomphalaria glabrata","Biomphalaria glabrata","Biomphalaria","Biomphalaria glabrata"
"Angiostrongylus siamensis","Berylmys berdmorei","Berylmys berdmorei","Berylmys","Berylmys berdmorei"
"Angiostrongylus siamensis","Leopoldamys sabanus","Leopoldamys sabanus","Leopoldamys","Leopoldamys sabanus"
"Angiostrongylus siamensis","Meriones unguiculatus","Meriones unguiculatus","Meriones","Meriones unguiculatus"
"Angiostrongylus siamensis","Mus musculus","Mus musculus","Mus","Mus musculus"
