"Host","Parasite","ParasiteFull"
"Scophthalmus rhombus","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Sebastes aleutianus","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Sebastes borealis","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Sebastes marinus","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Sebastes mentella","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Sebastes norvegicus","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Siphonostoma fuscum","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Solea solea","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Spicara smaris","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Squalus acanthias","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Stenotomus chrysops","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Sympterygia bonapartei","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Taurulus bubalis","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Tautoga onita","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Tautogolabrus adspersus","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Tetronarce occidentalis","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Theragra chalcogramma","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Thunnus albacares","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Thunnus sp.","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Torpedo marmorata","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Trachinus vipera","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Trachurus mediterraneus ponticus","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Trachurus trachurus","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Trachurus trachurus trachurus","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Trigla gurnardus","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Trigla hirundo","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Trigla pini","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Trisopterus luscus","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
